"source_desc","sector_desc","group_desc","commodity_desc","class_desc","prodn_practice_desc","util_practice_desc","statisticcat_desc","unit_desc","short_desc","domain_desc","domaincat_desc","agg_level_desc","state_ansi","state_fips_code","state_alpha","state_name","asd_code","asd_desc","county_ansi","county_code","county_name","region_desc","zip_5","watershed_code","watershed_desc","congr_district_code","country_code","country_name","location_desc","year","freq_desc","begin_code","end_code","reference_period_desc","week_ending","load_time","Value","CV (%)"
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2020","MONTHLY","01","01","JAN","","2020-11-30 15:04:12.000"," (NA)",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2020","MONTHLY","02","02","FEB","","2020-11-30 15:04:12.000"," (NA)",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2020","MONTHLY","03","03","MAR","","2020-11-30 15:04:12.000"," (NA)",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2020","MONTHLY","04","04","APR","","2020-11-30 15:04:12.000"," (NA)",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2020","MONTHLY","05","05","MAY","","2020-11-30 15:04:12.000"," (NA)",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2020","MONTHLY","06","06","JUN","","2020-11-30 15:04:12.000"," (NA)",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2020","MONTHLY","07","07","JUL","","2020-11-30 15:04:12.000"," (NA)",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2020","MONTHLY","08","08","AUG","","2020-11-30 15:04:12.000"," (NA)",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2020","MONTHLY","09","09","SEP","","2020-11-30 15:04:12.000"," (NA)",""
"SURVEY","CROPS","FIELD CROPS","CORN","ALL CLASSES","ALL PRODUCTION PRACTICES","GRAIN","PRICE RECEIVED","$ / BU","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","STATE","22","22","LA","LOUISIANA","","","","","","","","00000000","","","9000","UNITED STATES","LOUISIANA","2019","MONTHLY","01","01","JAN","","2020-11-30 15:04:12.000","3.96",""
